,HeLa
BCL7B,0.221520869788166
BCL7C,-0.635569677125551
BCL9,-1.39973389057234
BCL9L,-0.342271786527846
BCLAF1,0.3158910835053
BCLAF3,-1.08785660345297
BCOR,-0.229612894811234
BCORL1,-0.535832015861473
BCR,-1.54717696461014
BCS1L,-0.166939515213495
BDH1,0.0195196966098626
BDH2,0.870278606481273
BDKRB2,-0.186905173142368
BDNF,-0.287412819165779
BDP1,-1.86132657312747
BECN1,-0.678045334869874
BEGAIN,-0.2763473149975
BEND3,-1.09074968072316
BET1,1.18121277481204
BET1L,0.595767643975164
BEX3,1.16611092368772
BFAR,-0.18913098230395
BGN,0.871936053040776
BHLHA15,0.0368637779753819
BHLHE40,0.819531367168975
BICC1,-0.617742680075208
BICD1,-0.403526796207535
BICD2,-0.271659508906784
BICRA,-1.34202099685899
BICRAL,-2.01710554800049
BID,0.462966495558706
BIN1,-0.0319863535183797
BIN3,0.680647519320509
BIRC2,-1.05251694463358
BIRC5,0.987502194935034
BIRC6,-0.758568463829778
BLCAP,0.687366308351202
BLM,-0.571902697121008
BLMH,0.78635323110956
BLOC1S1,0.912370757281283
BLOC1S2,0.383588628223305
BLOC1S3,0.832438092844757
BLOC1S4,0.413277521051025
BLOC1S5,0.333804637014264
BLOC1S6,0.145680915912404
BLVRA,0.861509906608934
BLVRB,1.06602967657244
BLZF1,0.44545711511463
BMERB1,-0.0297455085335306
BMF,0.2094425693154
BMP1,-0.0417452606589883
BMP2,-0.640767865446933
BMP2K,-1.14366095633991
BMP6,-0.727676257233294
BMPER,-0.397946685678076
BMPR1A,-0.423522387137508
BMPR1B,-0.516733425210384
BMPR2,-0.526139855978563
BMS1,0.0154270021599683
BMT2,-0.346840553882143
BNC2,-1.67746880052419
BNIP1,0.459083426975054
BNIP2,0.324982078932519
BNIP3,0.29768485585816
BNIP3L,0.922281763389558
BOD1,-0.44007803181701
BOD1L1,-0.265231243464317
BOK,-0.264767745601819
BOLA1,0.376951295405048
BOLA2,-0.476967240330937
BOLA3,0.623974202936332
BOP1,0.251794259778046
BORA,-0.429550685967587
BORCS5,0.697259716317721
BORCS6,-0.0915954229368608
BORCS8,0.400869416150122
BPGM,-0.565187988155155
